Date,Time,Temperature,Humidity
8/7/2022,0:06:57,26.9,88
8/7/2022,0:07:00,27,89
8/7/2022,0:07:04,27,88
8/7/2022,0:07:07,27,88
8/7/2022,0:07:10,27,88
8/7/2022,0:07:12,27,89
8/7/2022,0:07:15,27,89
8/7/2022,0:07:19,27,89
8/7/2022,0:07:22,27,89
8/7/2022,0:07:25,27.1,89
8/7/2022,0:07:28,27.1,88
8/7/2022,0:07:31,27.1,88
8/7/2022,0:07:34,27.1,88
8/7/2022,0:07:37,27.1,88
8/7/2022,0:07:40,27.1,88
8/7/2022,0:07:43,27.1,88
8/7/2022,0:07:46,27.1,88
8/7/2022,0:07:49,27.1,88
8/7/2022,0:07:52,27.1,88
8/7/2022,0:07:55,27.1,88
8/7/2022,0:07:58,27.1,88
8/7/2022,0:08:01,27,88
8/7/2022,0:08:04,27.1,88
8/7/2022,0:08:08,27,88
8/7/2022,0:08:11,27,88
8/7/2022,0:08:14,27,88
8/7/2022,0:08:17,27,88
8/7/2022,0:08:20,27,88
8/7/2022,0:08:23,27,88
8/7/2022,0:08:26,27,87
8/7/2022,0:08:29,27,87
8/7/2022,0:08:32,27,87
8/7/2022,0:08:35,27,87
8/7/2022,0:08:38,27,88
8/7/2022,0:08:41,27,88
8/7/2022,0:08:44,27,88
8/7/2022,0:08:47,27,88
8/7/2022,0:08:50,27,88
8/7/2022,0:08:53,27,88
8/7/2022,0:08:56,27,88
8/7/2022,0:09:00,27,88
8/7/2022,0:09:03,26.9,88
8/7/2022,0:09:06,26.9,88
8/7/2022,0:09:09,26.9,88
8/7/2022,0:09:12,26.9,88
8/7/2022,0:09:15,26.9,88
8/7/2022,0:09:18,26.9,88
8/7/2022,0:09:22,26.9,88
8/7/2022,0:09:25,26.9,88
8/7/2022,0:09:28,26.9,88
8/7/2022,0:09:31,26.9,88
8/7/2022,0:09:34,26.9,88
8/7/2022,0:09:37,26.9,88
8/7/2022,0:09:39,26.9,88
8/7/2022,0:09:42,26.9,88
8/7/2022,0:09:45,26.9,88
8/7/2022,0:09:48,26.9,88
8/7/2022,0:09:51,26.9,88
8/7/2022,0:09:54,26.9,88
8/7/2022,0:09:57,26.9,88
8/7/2022,0:10:00,26.9,88
8/7/2022,0:10:03,26.9,88
8/7/2022,0:10:06,26.9,88
8/7/2022,0:10:09,26.9,88
8/7/2022,0:10:12,26.9,88
8/7/2022,0:10:15,26.9,88
8/7/2022,0:10:18,26.9,88
8/7/2022,0:10:21,26.9,88
8/7/2022,0:10:26,26.9,88
8/7/2022,0:10:29,26.8,88
8/7/2022,0:10:35,26.8,88
8/7/2022,0:10:41,26.8,88
8/7/2022,0:10:45,26.8,88
8/7/2022,0:10:48,26.8,88
8/7/2022,0:10:51,26.8,88
8/7/2022,0:10:54,26.8,88
8/7/2022,0:10:57,26.8,88
8/7/2022,0:11:00,26.8,88
8/7/2022,0:11:03,26.8,88
8/7/2022,0:11:06,26.8,88
8/7/2022,0:11:09,26.8,88
8/7/2022,0:11:12,26.8,88
8/7/2022,0:11:15,26.8,88
8/7/2022,0:11:18,26.8,88
8/7/2022,0:11:21,26.8,88
8/7/2022,0:11:24,26.8,88
8/7/2022,0:11:27,26.8,88
8/7/2022,0:11:30,26.8,88
8/7/2022,0:11:33,26.8,88
8/7/2022,0:11:36,26.8,88
8/7/2022,0:11:39,26.8,88
8/7/2022,0:11:42,26.8,88
8/7/2022,0:11:45,26.8,88
8/7/2022,0:11:48,26.8,88
8/7/2022,0:11:51,26.8,88
8/7/2022,0:11:54,26.8,88
8/7/2022,0:11:57,26.8,88
8/7/2022,0:12:00,26.8,88
8/7/2022,0:12:03,26.8,88
8/7/2022,0:12:06,26.8,88
8/7/2022,0:12:09,26.8,88
8/7/2022,0:12:12,26.7,88
8/7/2022,0:12:15,26.7,88
8/7/2022,0:12:18,26.7,88
8/7/2022,0:12:21,26.8,88
8/7/2022,0:12:24,26.7,88
8/7/2022,0:12:27,26.7,88
8/7/2022,0:12:31,26.7,88
8/7/2022,0:12:34,26.7,88
8/7/2022,0:12:37,26.7,88
8/7/2022,0:12:40,26.7,88
8/7/2022,0:12:43,26.7,88
